,Číslo záznamu,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Název díla v původním písmu,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel",Nakadatel v původním písmu,"Edice, svazek",Název edice v původním písmu,Údaje o časopiseckém vydání,Název časopisu v původním písmu,Počet stran,Rok,ISBN,Další role,Další role v původním písmu,Zdroj či odkaz,Volná poznámka,technická poznámka,Sloupec1,non-fiction
23,24,část knihy,21,celé dílo,překlad,nan,"Aškenazy, Ludvík (jk01010398)",To Avgo,Το Αβγό,nan,Vajíčko,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,Ze sbírky Vajíčko,nan,nan,nan
24,25,část knihy,21,celé dílo,překlad,,"Kundera, Milan (jk01070894)",To Chryso Milo tu Eoniu Pothu,Το Χρυσό Μήλο  του Αιώνιου Ποθού,,Zlaté jablko věčné touhy,,,,,,,,,,,,,,,,,Ze sbírky Směšné lásky,,nan,nan
25,26,část knihy,21,celé dílo,překlad,nan,"Olbracht, Ivan (jk01091013)",I Stadiodromia tu Eduarnd Zak,Η Σταδιοδρομία του 'Εντουαρντ Ζάκ,,Kariéra Eduarda Žáka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,"Devět veselých povídek z Rakouska i republiky, 1927",nan,nan,nan
26,27,část knihy,21,celé dílo,překlad,,"Hrabal, Bohumil (jk01042564)",Mathimata Choru ja Megalus ke Prochorimenus,Μαθήματα Χορού για Μεγάλους και Προχωρημένους,,Taneční hodiny pro starší a pokročilé,,,,,,,,,,,,,,,,,Ze sbírky Automat Svět,,nan,nan
27,28,kniha,nan,celé dílo,překlad,nan,"Bellová, Bianca (xx0087781)",I Limni,Η Λίμνη,Mythistorima,Jezero,gre,cze,nan,nan,Atény (Řecko) : Vakchikon,Βακχικόν,Peza/Xeni Logotechnia,Πεζά/Ξένη Λογοτεχνία,nan,nan,204,2021,978-960-638-269-7,"Chondrojanni, Andriana (trl, aui)","Χονδρογιάννη, Ανδριάνα",nan,Medailon autorky,nan,je / povolený znak? ANO,nan
28,29,kniha,,celé dílo,překlad,,"Bor, Josef (jk01012626)",To rekviem tis Terezin,Το ρέκβιεμ της Τερεζίν,Metafrasi apo ta tsechika Rene Psyruki,Terezínské rekviem,gre,cze,,,Atény (Řecko) : Dundumis,Ντουντούμης,Pangosmia logotechnia,Παγκόσμια λογοτεχνία,,,100,1984,,"Psyruki, Rene (trl, aui)","Ψυρούκη, Ρενέ",,"Předmluva § ""Jaký byl Terezín"" § Rekviem",,nan,nan
29,30,kniha,nan,celé dílo,překlad,nan,"Bor, Josef (jk01012626)",To rekviem tis Terezin,Το ρέκβιεμ της Τερεζίν,nan,Terezínské rekviem,gre,cze,nan,nan,Atény (Řecko) : Epikerotita,Επικαιρότητα,Xeni logotechnes,Ξένοι λογοτέχνες,nan,nan,100,1980,nan,"Psyruki, Rene (trl)","Ψυρούκη, Ρενέ",nan,nan,nan,nan,nan
30,31,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Apo ti mia tsepi stin alli : Andiastynomikes istories,Από τη μια τσέπη στην άλλη : Αντιαστυνομικές ιστοριές,Isagoji - Metafrasi Dimosthenis Kurtovik,Povídky z jedné a druhé kapsy,gre,cze,ger,,Atény (Řecko) : Agrostis,Άγρωστις,,,,,243,1991,960-7027-14-0,"Kurtovik, Dimosthenis (trl, aui)","Κούρτοβικ, Δημοσθένης",,"Kurtovik, Dimosthenis : Úvod",,nan,nan
31,32,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I periptosi tu dros Mejzlik,Η περίπτωση του δρος Μέιζλικ,nan,Případ dra Mejzlíka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
32,33,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",O mandis,Ο μάντης,,Věštkyně,,,,,,,,,,,,,,,,,,,nan,nan
33,34,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",To pirama tu kathijiti Rous,Το πείραμα του καθηγητή Ρόους,nan,Experiment doktora Rousse,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
34,35,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",To klemmeno engrafo 7/139/3° Gr.,Το κλεμμένο έγγραφο 7/139/3° Γρ.,,Ukradený spis 139/VII. odd. C,,,,,,,,,,,,,,,,,,,nan,nan
35,36,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",O anthropos pu den arese,Ο άνθρωπος που δεν άρεσε,nan,"Muž, který se nelíbil",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
36,37,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",O piitis,Ο ποιητής,,Básník,,,,,,,,,,,,,,,,,,,nan,nan
37,38,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",To guri tu kyriu Janik,Το γούρι του κυρίου Γιάνικ,nan,Případy pana Janíka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
38,39,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",I eklipsi tu Iku ton Votitsky,Η έκλειψη του Οίκου των Βοτίτσκυ,,Pád rodu Votických,,,,,,,,,,,,,,,,,,,nan,nan
39,40,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Rekor,Ρεκόρ,nan,Rekord,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
40,41,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",To chnari,Το χνάρι,,Šlépěje,,,,,,,,,,,,,,,,,,,nan,nan
41,42,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I apodixi tu tamiu,Η απόδειξη του ταμείου,nan,Kupón,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
42,43,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",To telos tu Oplatka,Το τέλος του Οπλάτκα,,Oplatkův konec,,,,,,,,,,,,,,,,,,,nan,nan
43,44,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I Imera tis Kriseos,Η Ημέρα της Κρίσεως,nan,Poslední soud,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
44,45,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Englima sto ypostatiko,Έγκλημα στο υποστατικό,,Zločin v chalupě,,,,,,,,,,,,,,,,,,,nan,nan
45,46,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I exafanisi tu ithopiu Benda,Η εξαφάνιση του ηθοποιού Μπέντα,nan,Zmizení herce Bendy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
46,47,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Dolofoniki apopira,Δολοφονική απόπειρα,,Vražedný úok,,,,,,,,,,,,,,,,,,,nan,nan
47,48,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Apofylakisi,Αποφυλάκιση,nan,Propuštěný,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
48,49,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",O klemmenos kaktos,Ο κλεμμένος κάκτος,,Ukradený kaktus,,,,,,,,,,,,,,,,,,,nan,nan
49,50,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I istoria enos palemachu pinikologu,Η ιστορία ενός παλαίμαχου ποινικολόγου,nan,Povídka starého kriminálníka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
50,51,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",O klemmenos fonos,Ο κλεμμένος φόνος,,Ukradený vražda,,,,,,,,,,,,,,,,,,,nan,nan
51,52,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",To mystirio tu klemmenu pediu,Το μυστήριο του κλεμμένου παιδιού,nan,Případ s dítětem,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
52,53,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",I komissa,Η κόμησσα,,Grófinka,,,,,,,,,,,,,,,,,,,nan,nan
53,54,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I istoria tu maestru Kalina,Η ιστορία του μαέστρου Κάλινα,nan,Historie dirigenta Kaliny,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
54,55,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",O thanatos tu Varonu Gandara,Ο θάνατος του Βαρόνου Γκαντάρα,,Smrt barona Gandary,,,,,,,,,,,,,,,,,,,nan,nan
55,56,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I istoria enos prikothira,Η ιστορία ενός προικοθήρα,nan,Příběhy sňatkového podvodníka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
56,57,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",I balanda tu Jura Tsup,Η μπαλάντα του Γιούρα Τσουπ,,Balada o Juraji Čupovi,,,,,,,,,,,,,,,,,,,nan,nan
57,58,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I exomolojisi,Η εξομολόγηση,nan,Ušní zpověď,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
58,59,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",I diki tu kyriu Havlena,Η δίκη του κυρίου Χάβλενα,,Soud pana Havleny,,,,,,,,,,,,,,,,,,,nan,nan
59,60,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I velona,Η βελόνα,nan,Jehla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
60,61,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",O synithismenos fonos,Ο συνηθισμένος φόνος,,Obyčejná vražda,,,,,,,,,,,,,,,,,,,nan,nan
61,62,část knihy,31,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",O enorkos,Ο ένορκος,nan,Porotce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
62,63,část knihy,31,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Peri ton eschaton pragmaton tu anthropu,Περί των εσχάτων πραγμάτων του ανθρώπου,,Poslední věci člověka,,,,,,,,,,,,,,,,,,,nan,nan
63,64,kniha,nan,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Apokryfes istories,Απόκρυφες ιστορίες,Metafrasi Kostas Kunduris,Kniha apokryfů,gre,cze,nan,nan,Atény (Řecko) : Medusa,Μέδουσα,Logotechnia,Λογοτεχνία,nan,nan,182,1987,nan,"Kunduris, Kostas (trl)","Κουντούρης, Κώστας",nan,"Text ""Karel Tsapek""",nan,nan,nan
64,65,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",Efta alliotikes istories,Εφτά αλλιώτικες ιστορίες,Metafrasi N. Moschos § Epimelia T. Panajotu § Exofyllo ke Esoterikes Ikones E. Karydi,Devatero pohádek,gre,cze,,,Atény (Řecko) : Jemendzopulos,Γεμεντζόπουλος,Roz Vivliothiki,Ροζ Βιβλιοθήκη,,,95,1980,,"Karydi, E. (aui) § Moshos, Nikos (trl)","Καρύδη, Ε. § Μόσχος, Νίκος",,Návrh obálky a ilustrace : E. Karydi § krátký doprovodný text § Ilustrace částečně od Josefa Lady (bez zmínky autora),,můžeme takto použít závorky? ANO,nan
65,66,část knihy,65,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I istoria tu skylu,Η ιστορία του σκύλου,nan,Pohádka psí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
66,67,část knihy,65,celé dílo,překlad,,"Čapek, Karel (jk01021023)",I istoria tu listi,Η ιστορία του ληστή,,Druhá loupežnická pohádka,,,,,,,,,,,,,,,,,,,nan,nan
67,68,část knihy,65,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I istoria tu gatu,Η ιστορία του γάτου,nan,Velká pohádka kočičí,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
68,69,část knihy,65,celé dílo,překlad,,"Čapek, Karel (jk01021023)",I istoria tu aliti,Η ιστορία του αλήτη,,Pohádka tulácká,,,,,,,,,,,,,,,,,,,nan,nan
69,70,část knihy,65,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I astynomiki istoria,Η αστυνομική ιστορία,nan,Velká policejní pohádka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
70,71,část knihy,65,celé dílo,překlad,,"Čapek, Karel (jk01021023)",I istoria tu tachydromiu,Η ιστορία του ταχυδρομείου,,Pošťácká pohádka,,,,,,,,,,,,,,,,,,,nan,nan
71,72,část knihy,65,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",I istoria ton jatron,Η ιστορία των γιατρών,nan,Velká pohádka doktorská,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
72,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan
73,74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
74,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan
75,76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
76,77,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",I apeleftherosi tu apolytu,Η απελευθέρωση του απολύτου,Metafrasi Tasos Darveris,Továrna na absolutno,gre,cze,,The Absolute at Large,Atény (Řecko) : Medusa,Μέδουσα,Logotechnia,Λογοτεχνία,,,128,1990,,"Darveris, Tasos (trl)","Δαρβέρης, Τάσος",,"Text ""Karel Tsapek""",,nan,nan
77,78,kniha,nan,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Mythi,Μύθοι,nan,Bajky,gre,cze,nan,nan,Ajos Nikolaos (Řecko) : Polychronaki,Πολυχρονάκι,nan,nan,nan,nan,60,2004,nan,"Klondza-Jaklova, Vera (trl, aui, cwt)","Κλώντζα-Γιάκλοβα, Βέρα",nan,Text o autorovi § Poznámka překladatele,nan,nan,nan
78,79,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",O Polemos me tis Salamandres,Ο Πόλεμος με τις Σαλαμάνδρες,Mythistorima § Metafrasi Dimosthenis Kurtovik,Válka s mloky,gre,cze,,,Atény (Řecko) : Poria,Πορεία,,,,,271,1983,,"Kurtovik, Dimosthenis (trl, cwt)","Κούρτοβικ, Δημοσθένης",,Dimosthenis Kurtovik: úvod,,nan,nan
79,80,kniha,nan,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",O Polemos me tis Salamandres : Mithistorima,Ο Πόλεμος με τις Σαλαμάνδρες : Μυθιστόρημα,Mythistorima § Metafrasi Dimosthenis Kurtovik § 2. ekdosi,Válka s mloky,gre,cze,,Der Krieg mit den Molchen,Atény (Řecko) : Poria,Πορεία,nan,nan,nan,nan,271,1991,960-7043-12-Χ,"Kurtovik, Dimosthenis (trl, cwt)","Κούρτοβικ, Δημοσθένης",nan,Dimosthenis Kurtovik: úvod § 2. vydání,nan,nan,nan
80,81,kniha,,celé dílo,překlad,,"Čapek, Karel (jk01021023)",O Polemos me tis Salamandres,Ο Πόλεμος με τις Σαλαμάνδρες,Mythistorima § Metafrasi Dimosthenis Kurtovik § 3. ekdosi,Válka s mloky,gre,cze,,,Atény (Řecko) : Medusa,Μέδουσα,,,,,296,2018,978-960-8338-87-6,"Kurtovik, Dimosthenis (trl, cwt)","Κούρτοβικ, Δημοστθένης",,Dimosthenis Kurtovik: úvod § 3. upravené vydání,,nan,nan
81,82,kniha,nan,celé dílo,překlad,nan,"Černá, Jana (jk01021384)",I zoi tis Milena,Η ζωή της Μίλενα,nan,Adresát Milena Jesenská,gre,cze,nan,nan,Atény (Řecko) : Exandas,Εξάντας,21os eonas,21ος αιώνας,nan,nan,207,1994,960-256-117-3,"Černý, Jan P. (aft) § Flaisman, Stasa (aui) § Metaftsi, Agni (trl)","Černý, Jan P. § Flaisman, Stasa § Μεταφτσή, Άγνη",nan,nan,nan,nan,nan
82,83,kniha,,celé dílo,překlad,,"Černá, Jana (jk01021384)",I Milena tu Kafka,Η Μίλενα του Κάφκα,Metafrasi apo ta tsechika Andreas Tsakalis,Adresát Milena Jesenská,gre,cze,,,? (Řecko) : Bimbis Stereoma,Μπίμπης Στερέωμα,,,,,181,1999,,"Tsakalis, Andreas (trl, aui)","Τσάκαλης, Ανδρέας",,Předmluva,,nan,nan
83,84,kniha,nan,celé dílo,překlad,nan,"Dery, Dominika (jn20000400456)",Dodeka mikra keik : Mythistorima,Δώδεκα μικρά κέικ : Μυθιστόρημα,Metafrasi Chrysa Tsalikidu,The Twelve Little Cakes,gre,eng,nan,nan,Atény (Řecko) : Ilektra,Ηλέκτρα,Xeni logotechnia,Ξένη λογοτεχνία,nan,nan,409,2005,960-6627-26-8,"Tsalikidu, Chrysa (trl, aui)","Τσαλικίδου, Χρύσα",nan,nan,nan,nan,nan
84,85,kniha,,celé dílo,překlad,,"Erben, Karel Jaromír (jk01030532)",I tris chryses triches tu panixeru pappu,Οι τρείς χρυσές τρίχες του πανήξερου παππού,Paramythi § Metafrasi apo to tsechiko prototypo Karolos Tsizek § Paraskevas Miliopulos § Epimetro,Tři zlaté vlasy děda Vševěda,gre,cze,,,Paiania (Řecko) : Bilieto,Μπιλιέτο,,,,,31,2006,960-7805-38-0,"Tsizek, Karolos (trl, aui) § Miliopulos, Paraskevas (trl)","Τσίζεκ, Κάρολος § Μηλιόπουλος, Παρασκευάς",,"Tsizek, Karolos : ""Epimetro : To laiko paramythi : O Karel Jaromir Ermben ke I epochi tu""",,,nan
85,86,kniha,nan,celé dílo,překlad,nan,"Carrière, Jean-Claude (jo2005267872) § Forman, Miloš (jk01031567)",Ta Fandasmata tu Goja,Τα Φαντάσματα του Γκόγια,Metafrasi apo ta gallika Anjelos Filippatos,Les Fantômes de Goya,gre,fre,nan,nan,Atény (Řecko) : A. A. Livanis,Α. Α. Λιβάνης,Xeni logotechnia,Ξένη λογοτεχνία,nan,nan,388,2007,978-960-14-1399-0,"Filippatos, Anjelos (trl)","Φιλιππάτος, Άγγελος",nan,nan,nan,nan,nan
86,87,kniha,,celé dílo,překlad,,"Fučík, Julius (jk01032106)",Grammeno me ti thilia sto lemo,Γραμμένο με τη θηλειά στο λαιμό,Metafrasi ap' ta gallika Efi Panselinu,Reportáž psaná na oprátce,gre,cze,fre,,Atény (Řecko) : Ardittos,Αρδηττός,,,,,142,1963,,"Fučíková, Gusta (aui) § Panselinu, Efi (aui, trl)","Fučíková, Gusta § Πανσελήνου, Έφη",,,,nan,nan
87,88,kniha,nan,celé dílo,překlad,nan,"Fučík, Julius (jk01032106)",Reportaz kato ap' tin kremala,Ρεπορτάζ κάτω απ' την κρεμάλα,Grammeno sti fylaki tis Gestapo sto Pankrats tis Pragas tin anixi tu 1943,Reportáž psaná na oprátce,gre,cze,nan,nan,Nea Ellada,Νέα Ελλάδα,nan,nan,nan,nan,174,1951,nan,"Papas, Dimitris (trl)","Παπάς, Δημήτρης",nan,Náklad 3 000,nan,nan,nan
88,89,kniha,,celé dílo,překlad,,"Fučík, Julius (jk01032106)",Grammeno me ti thilia sto lemo,Γραμμένο με τη θηλειά στο λαιμό,Grammeno sti fylaki tis Gestapo sto Pankrats tis Pragas tin anixi tu 1943,Reportáž psaná na oprátce,gre,cze,,,Synchroni epochi,Σύγχρονη εποχή,,,,,143,2014,978-960-451-180-8,"Fučíková, Gusta (aui)",,,Fotografie,,nan,nan
89,90,kniha,nan,antologie,překlad,nan,"Hašek, Jaroslav (jk01040097)",Ja jelia ke ja klamata,Για γέλια και για κλάματα,(Diijimata) §  Metafrasi Lambros Petsinis,Originál neexistuje,gre,cze,nan,nan,Atény (Řecko) : Kastaniotis,Καστανιώτης,nan,nan,nan,nan,178,1980,nan,"Petsinis, Lambros (trl)","Πετσίνης, Λάμπρος",nan,nan,nan,nan,nan
90,91,část knihy,90,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)","""Adiavlites"" vuleftikes eklojes",«Αδιάβλητες» βουλευτικές εκλογές,,Před užšími volbami na Vyšehradě,,,,,,,,,,,,,,,,,,,nan,nan
91,92,část knihy,90,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",O engatelimmenos chales,Ο εγκατελειμμένος χαλές,nan,Na opuštěné latrině,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
92,93,část knihy,90,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I styjeri politiki dolofonia tu gatu,Η στυγερή πολιτική δολοφονία του γάτου,,Nešťastná historie s kocourem,,,,,,,,,,,,,,,,,,,nan,nan
93,94,část knihy,90,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Ta apotelesmata tis andialkoolikis therapias,Τα αποτελέσματα της αντιαλκοολικής θεραπείας,nan,Alkoholická idyla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
94,95,část knihy,90,celé dílo,překlad,,"Hašek, Jaroslav (jk01040097)",I synepies tis apagorefsis isagojis gurunion,Οι συνέπειες της απαγόρευσης εισαγωγής γουρουνιών,,Rakouské celní úřady,,,,,,,,,,,,,,,,,,,nan,nan
95,96,část knihy,90,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)","""Prostasis"" tis ithikis",«Προστάσεις» της ηθικής,nan,Dobrodružství vládního rady a školního inspektora Kalouse,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan
