,Číslo záznamu,Finské id,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Doplnění názvu,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Další role,Volná poznámka,technická poznámka
321,322,nan,část knihy,312.0,celé dílo,nan,nan,"Macourek, Miloš (jk01072813)",Joonas joka ei pitänyt kalasta,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322,323,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Lastentarha merellä,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323,324,nan,část knihy,312.0,celé dílo,nan,nan,"Sekyrková, Hana (jk01022763)",Aasi joka halusi palmikon,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
324,325,nan,část knihy,312.0,celé dílo,nan,nan,"Krumbachová, Ester (jk01063545)",Ihmeellinen ikkuna,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
325,326,nan,část knihy,312.0,celé dílo,nan,nan,"Macourek, Miloš (jk01072813)",Mistä aurinko saa sateenkaaren värit,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
326,327,nan,část knihy,312.0,celé dílo,nan,nan,"Hejná, Olga (jk01040577)",Hassujen päähänpistojen maa,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
327,328,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Kun omenamato oli upottaa laivan,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
328,329,nan,část knihy,312.0,celé dílo,nan,nan,"Borská, Ilona (jk01012697)",Vihreä satu taikuri Burnubiristä,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
329,330,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Apina Bububu ja tiikeri Pantepante,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
330,331,nan,část knihy,312.0,celé dílo,nan,nan,"Vostrá, Alena (jk01150760)",Oli kerran kameli,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
331,332,nan,část knihy,312.0,celé dílo,nan,nan,"Franková, Hermína (jk01031754)",Uimaopettaja ja sardiinit,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
332,333,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Tiikeri joka uneksi vapaudesta,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
333,334,nan,část knihy,312.0,celé dílo,nan,nan,"Vostrá, Alena (jk01150760)",Kirahvi Elisabet ja virtahepo Sebastian,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
334,335,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Satu meidän mirrille,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
335,336,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Noitaluuta,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
336,337,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Vesiprinsessa,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
337,338,nan,část knihy,312.0,celé dílo,nan,nan,"Čtvrtek, Václav (jk01021929)",Taikalasi,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
338,339,nan,část knihy,312.0,celé dílo,nan,nan,"Hejná, Olga (jk01040577)",Pekka ja pyrstötähti,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
339,340,nan,část knihy,312.0,celé dílo,nan,nan,"Čtvrtek, Václav (jk01021929)",Meidän talon villevahti,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
340,341,nan,část knihy,312.0,celé dílo,nan,nan,"Sekyrková, Hana (jk01022763)",Purppuravene,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
341,342,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Kuu ja kamelilapsi,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
342,343,nan,část knihy,312.0,celé dílo,nan,nan,"Sekyrková, Hana (jk01022763)",Röyhkeä hattu,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
343,344,nan,část knihy,312.0,celé dílo,nan,nan,"Macourek, Miloš (jk01072813)",Jaakko ja kaksisataa isoisää,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
344,345,nan,část knihy,312.0,celé dílo,nan,nan,"Aškenazy, Ludvík (jk01010398)",Lepakko,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
345,346,nan,část knihy,312.0,celé dílo,nan,nan,"Aškenazy, Ludvík (jk01010398)",Maalatut salamat,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
346,347,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Kummitus ja poliisi,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
347,348,nan,část knihy,312.0,celé dílo,nan,nan,"Macourek, Miloš (jk01072813)",Mitä todistuksen viitoset voivat saada aikaan,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
348,349,nan,část knihy,312.0,celé dílo,nan,nan,"Aškenazy, Ludvík (jk01010398)",Taivaanvuohet ja säveltäjä cismolli,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
349,350,nan,část knihy,312.0,celé dílo,nan,nan,"Mikulka, Alois (jk01081647)",Pilkullinen postimerkki,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
350,351,nan,část knihy,312.0,celé dílo,nan,nan,"Aškenazy, Ludvík (jk01010398)",Kuollut sähkölamppu,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
351,352,nan,část knihy,312.0,celé dílo,nan,nan,"Macourek, Miloš (jk01072813)",Kuinka valkosta tuli laskennonopettaja,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
352,353,nan,část knihy,312.0,celé dílo,nan,nan,"Štuka, Ivo (jk01131550)",Kultainen satu kultakala Eemilistä,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
353,354,nan,část knihy,312.0,celé dílo,nan,nan,"Sekyrková, Hana (jk01022763)",Surullinen kuu,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
354,355,nan,část knihy,312.0,celé dílo,nan,nan,"Franková, Hermína (jk01031754)",Tiedemies,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
355,356,nan,část knihy,312.0,celé dílo,nan,nan,"Vyskočil, Ivan (jk01151228)",Satu anssista ja saippuapalloista,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
356,357,nan,část knihy,312.0,celé dílo,nan,nan,"Sekyrková, Hana (jk01022763)",Satu unesta,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
357,358,nan,část knihy,312.0,celé dílo,nan,nan,"Sekyrková, Hana (jk01022763)",Silmälasit,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
358,359,010856664,kniha,nan,antologie,nan,nan,nan,Satu ystävältä,nan,nan,originál neexistuje,fin,nan,nan,nan,Helsinki (Finsko): Opetushallitus,nan,nan,93.0,2003.0,951-719-662-8,Riikka Juvonen (ill) § Anna Liisa Salmela (edt),nan,nan
359,360,nan,část knihy,359.0,celé dílo,nan,nan,"Muková, Ivana (mzk2004148506)",Tsekkiläinen satu - Miten tsekkiläinen Honza oppi salaista kieltä,nan,nan,Jak se Honza učil tajné řeči,fin,cze,nan,nan,nan,nan,nan,nan,nan,nan,nan,dvoujazyčné vydání,nan
360,361,003241939,kniha,nan,antologie,nan,nan,nan,Aarteiden kirja V. Nooan arkki,nan,nan,originál neexistuje,fin,cze,swe,Min skattkammare,Porvoo (Finsko): Werner Söderström Osakeyhtiö,Aarteiden kirja ; 5,nan,175.0,1957.0,951-0-04182-3,"Kirsi Kunnas (edt, trl) § Annie Löfstedt (edt) § Barbro Svinhufvud (edt) § Roland Hentzel (edt) § Helena Anhava (trl) § Kristiina Kivivuori (trl)",nan,nan
361,362,nan,část knihy,361.0,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Lintusatu,nan,nan,originál nenalezen,fin,cze,nan,nan,nan,nan,nan,nan,nan,nan,Kirsi Kunnas (trl),nan,nan
362,363,011195044,kniha,nan,antologie,nan,nan,nan,Ratavartijan näky ja muita kuuluisia kertomuksia,nan,nan,originál neexistuje,fin,nan,nan,nan,Porvoo (Finsko): Werner Söderström Osakeyhtiö,Nuorten novellisto ; 2,nan,256.0,1965.0,nan,Kerttu Manninen (edt) § Pentti Lehto (ill),nan,nan
363,364,011278721,část knihy,363.0,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Rikos maalaispostissa,nan,nan,Zločin na poště,fin,cze,nan,nan,nan,nan,nan,nan,nan,nan,Eila Kivikkaho (trl),nan,nan
364,365,018050857,kniha,nan,antologie,nan,nan,nan,Slaavilaisten kirjallisuuksien kultainen kirja,nan,nan,originál neexistuje,fin,nan,nan,nan,Porvoo (Finsko): Werner Söderström Osakeyhtiö,Maailmankirjallisuuden kultainen kirja ; 5,nan,917.0,1936.0,nan,"V. K. Trast (edt, trl)",nan,nan
365,366,nan,část knihy,365.0,celé dílo,překlad,nan,"Erben, Karel  Jaromír (jk01030532)",Paju,nan,nan,Vrba,fin,cze,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
366,367,nan,část knihy,365.0,úryvek,překlad,nan,"Němcová, Božena (jk01083016)",Viktorka,nan,nan,Babička,fin,cze,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
367,368,nan,část knihy,365.0,celé dílo,překlad,nan,"Neruda, Jan (jk01083209)",Lapsiballadi,nan,nan,Balada dětská,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
368,369,nan,část knihy,365.0,celé dílo,překlad,nan,"Neruda, Jan (jk01083209)",Joulukehtolaulu,nan,nan,Ukolébavka vánoční,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
369,370,nan,část knihy,365.0,celé dílo,překlad,nan,"Neruda, Jan (jk01083209)",Nai maamme tänään,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
370,371,nan,část knihy,365.0,celé dílo,překlad,nan,"Neruda, Jan (jk01083209)",Minä pelästyin,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
371,372,nan,část knihy,365.0,celé dílo,překlad,nan,"Neruda, Jan (jk01083209)",Kalkin maassa,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
372,373,nan,část knihy,365.0,celé dílo,překlad,nan,"Neruda, Jan (jk01083209)",Kolme Liljaa,nan,nan,U tří lilií,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
373,374,nan,část knihy,365.0,celé dílo,překlad,nan,"Neruda, Jan (jk01083209)",Herra Ryšánek ja herra Schlegl,nan,nan,Pan Ryšánek a pan Schlegl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
374,375,nan,část knihy,365.0,celé dílo,překlad,nan,"Březina, Otokar (jk01020045)",Aika,nan,nan,Vteřiny,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
375,376,nan,část knihy,365.0,úryvek,překlad,nan,"Světlá, Karolina (jk01121895)",Podhajskýt,nan,nan,Kantůrčice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. Kiparsky (trl),nan,nan
376,377,nan,část knihy,365.0,celé dílo,překlad,nan,"Čech, Svatopluk (jk01021137)",Omenapuu,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. Kiparsky (trl),nan,nan
377,378,nan,část knihy,365.0,celé dílo,překlad,nan,"Vrchlický, Jaroslav (jk01151037)",Kanan takia,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. Kiparsky (trl),nan,nan
378,379,nan,část knihy,365.0,úryvek,překlad,nan,"Zeyer, Julius (jk01152552)",Hullujen koppi,nan,nan,Dům U tonoucí hvězdy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
379,380,nan,část knihy,365.0,úryvek,překlad,nan,"Holeček, Josef (jk01041699)",Luja kristitty,nan,nan,Naši,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
380,381,nan,část knihy,365.0,celé dílo,překlad,nan,"Bezruč, Petr (jk01011993)",Hanalainen kylä,nan,nan,Hanácká ves,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
381,382,nan,část knihy,365.0,celé dílo,překlad,nan,"Bezruč, Petr (jk01011993)",Ken sijaani astuu?,nan,nan,Kdo na moje místo?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. Kiparsky (trl),nan,nan
382,383,nan,část knihy,365.0,úryvek,překlad,nan,"Jirásek, Alois (jk01051816)",Chodin vapaustaistelijat,nan,nan,Psohlavci,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
383,384,nan,část knihy,365.0,celé dílo,překlad,nan,"Březina, Otokar (jk01020045)",Voimmakkaitten viini,nan,nan,Víno silných,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
384,385,nan,část knihy,365.0,celé dílo,překlad,nan,"Březina, Otokar (jk01020045)",Kasvien maailma,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
385,386,nan,část knihy,365.0,celé dílo,překlad,nan,"Theer, Otakar (jk01132330)",Epäkelpo,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. Kiparsky (trl),nan,nan
386,387,nan,část knihy,365.0,úryvek,překlad,nan,"Čapek, Karel (jk01021023)",R. U. R.,nan,nan,R.U.R.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Jalo Kalima (trl),nan,nan
387,388,nan,část knihy,365.0,úryvek,překlad,nan,"Dyk, Viktor (jk01030247)",Fridolín Kocourekin vihamiehet,nan,nan,originál nenalezen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. Kiparsky (trl),nan,nan
388,389,nan,část knihy,365.0,úryvek,překlad,nan,"Hašek, Jaroslav (jk01040097)",Uljaan soturin Švejkin vaiheet maailmansodan aikana,nan,nan,Osudy dobrého vojáka Švejka za světové války - Na frontě,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,V. K. Trast (trl),nan,nan
389,390,nan,kniha,nan,antologie,nan,nan,nan,"Kahdestoista ""Hyvää yötä!""",Hetki leipoa kunnes nukutte,nan,nan,fin,nan,nan,nan,Hämeenlinna (Finsko): Arvi A. Karisto Osakeyhtiö,nan,nan,225.0,1961.0,nan,Martti Qvist (edt),nan,nan
390,391,nan,část knihy,390.0,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Siunattu toukokuu,nan,nan,originál nenalezen,fin,cze,nan,nan,nan,nan,nan,nan,nan,nan,Toivo Kalervo (trl),nan,nan
391,392,000733385,kniha,nan,celé dílo,překlad,nan,"Hašek, Jaroslav (jk01040097)",Kunnon sotamies Švejkin seikkailut maailmansodassa,I-II,nan,"Osudy dobrého vojáka Švejka za světové války - V zázemí, Na frontě",fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,569.0,1959.0,nan,Marja Helin (trl) § Tuure Lehén (trl) § Elvi Sinervo (trl) § Josef Lada (ill),šesté vydání,nan
392,393,000956440,kniha,nan,celé dílo,překlad,nan,"Neruda, Jan (jk01083209)",Prahalaistarinoita,nan,nan,Povídky malostranské,fin,cze,nan,nan,Helsinki (Finsko): Like,Like pokkari ; 64,nan,294.0,2005.0,952-471-551-1,"Eero Balk (trl, cwt)",podpořeno Ministerstvem kultury ČR,nan
393,394,007050148,kniha,nan,celé dílo,překlad,nan,"Čapek, Karel (jk01021023)",Puutarhurin vuosi,nan,nan,Zahradníkův rok,fin,cze,nan,nan,Helsinki (Finsko): Basam Books Oy,nan,nan,208.0,2015.0,978-952-260-420-0,Eero Balk (trl) § Josef Čapek (ill),nan,nan
394,395,005242246,kniha,nan,celé dílo,překlad,nan,"Janáček, Leoš (jk01050745)",Katja Kabanova,nan,nan,Káťa Kabanová,fin,cze,nan,nan,Helsinki (Finsko): Kansallisooppera,nan,nan,43.0,2003.0,nan,Mari Rautio (trl),dvojjazyčné vydání,libreto
395,396,000624514,kniha,nan,celé dílo,překlad,nan,"Smetana, Bedřich (jk01120043) § Sabina, Karel (jk01110239)",Myyty morsian,nan,nan,Prodaná nevěsta,fin,cze,nan,nan,Kuopio (Finsko): Kuopion oopperayhdistys,nan,nan,28.0,1984.0,nan,Tarja Svärd-Ylitalo (trl) § Jussi Törnwall (trl),nan,libreto
396,397,005516739,kniha,nan,celé dílo,překlad,nan,"Vaculík, Ludvík (jk01141068)",Marsut,nan,nan,Morčata,fin,cze,nan,nan,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,Keltainen kirjasto ; 136,nan,195.0,1977.0,951-30-4002-X / 951-30_4003-8,Kirsti Siraste (trl),nan,nan
397,398,003328398,kniha,nan,celé dílo,překlad,nan,"Rudolf, Stanislav (jk01103025)",Päivänkakkaroita linnanneidille,nan,nan,Kopretiny pro zámeckou paní,fin,cze,nan,nan,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,Tam tam kirjat ; 59,nan,150.0,1975.0,951-30-3470-4,Kirsti Siraste (trl),nan,nan
398,399,003328396,kniha,nan,celé dílo,překlad,nan,"Rudolf, Stanislav (jk01103025)",Hellästi virkattu aika,nan,nan,Něžně háčkovaný čas,fin,cze,nan,nan,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,Tam tam kirjat ; 76,nan,176.0,1978.0,951-30-4525-0,Kirsti Siraste (trl),nan,nan
399,400,011526370,kniha,nan,celé dílo,překlad,nan,"Klíma, Ladislav (jk01060531)",Loistava Nemesis,nan,nan,Slavná Nemesis,fin,cze,nan,nan,Helsinki (Finsko): Like,nan,nan,124.0,1999.0,951-578-510-3,Markku Tuiskula (trl),nan,nan
400,401,000775760,kniha,nan,celé dílo,překlad,nan,"Sekora, Ondřej (jk01110710)",Pelle Muurahainen,nan,nan,Ferda Mravenec,fin,cze,swe,nan,Porvoo (Finsko): Werner Söderström Osakeyhtiö,nan,nan,69.0,1951.0,nan,Hedi Järvenpää (trl),nan,není uveden název švédského překladu
401,402,004531414,kniha,nan,celé dílo,překlad,nan,"Stankovský, Vladislav (jk01120894) § Vladislav Jan (jk01150006)",Pikku Lassi ja Repolainen,Tšekkiläinen satu,nan,Liška a Smolíček,fin,cze,ger,nan,(Finsko): Kansankulttuuri Oy,nan,nan,nan,1973.0,951-615-036-5,Marja Lallo (trl) § Ingeborg Meyer-Rey (ill),nan,"nemá číslované strany, není uveden název německého překladu"
402,403,000743010,kniha,nan,celé dílo,překlad,nan,"Novák, J.Z. (jk01090423)",Jänö joka tahtoi luistella jäällä,nan,nan,Jak se zajíček chtěl klouzat,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,nan,1964.0,nan,Elvi Sinervo (trl) § Josef Kábrt (ill),nan,nemá číslované strany
403,404,001650809,kniha,nan,celé dílo,překlad,nan,"Lukešová, Milena (jk01072640)",Janne ja ensi lumi,nan,nan,Bílá zima,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,nan,1981.0,951-615-241-4,Aila Apell (trl) § Jan Kudláček (ill),nan,nemá číslované strany
404,405,001650801,kniha,nan,celé dílo,překlad,nan,"Lukešová, Milena (jk01072640)",Tyttö ja sade,nan,nan,Holčička a déšť,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,nan,1979.0,951-615-186-8,Aila Apell (trl) § Jan Kudláček (ill),nan,nemá číslované strany
405,406,000745440,kniha,nan,celé dílo,překlad,nan,"Vančura, Vladislav (jk01141424)",Nalle-Kalle ja hänen karhunsa Kallen-Nalle,nan,nan,Kubula a Kuba Kubikula,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,126.0,1963.0,nan,Elvi Sinervo (trl) § Zdeněk Miler (ill),nan,nan
406,407,011538894,kniha,nan,celé dílo,překlad,nan,"Hrubín, František (jk01042920) § James Reeves",Vuokko ja talvinoita,nan,František Hrubínin sadun mukaan kertonut James Reeves,originál neexistuje,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,52.0,1966.0,nan,Marja Lallo (trl) § Jiří Trnka (ill),nan,nan
407,408,005800064,kniha,nan,celé dílo,překlad,nan,"Anděra, Miloš (jk01010263)",Euroopan luonto,nan,nan,Encyklopedie evropské přírody,fin,cze,"slo, ger",nan,(Finsko): h.f. Ullmann,nan,nan,240.0,2008.0,978-3-8331-4735-7,Pirkko Roinila (trl) § Pavel Procházka (ill) § Jan Hošek (ill) § Jiří Hajný (ill) § Tomáš Řízek (ill),nan,neuvedeny názvy překladů
408,409,003316302,kniha,nan,celé dílo,překlad,nan,"Provazníková, Věra (jk01101403)",Lukemista lapsille,nan,nan,originál nenalezen,fin,cze,ger,Für die Kinder,(Finsko): Weilin+Göös,nan,nan,47.0,1981.0,951-335-2142-7,Kaarina Helakisa (trl) § Josef Lada (ill),nan,nan
409,410,005358183,kniha,nan,celé dílo,překlad,nan,"Svatopluk, T. (jk01121858)",Liukuhihna ei odota,nan,nan,Botostroj,fin,cze,nan,nan,Helsinki (Finsko): Kansankulttuuri Oy,nan,nan,284.0,1956.0,nan,"Annikki Maruna (trl, aui)",nan,nan
410,411,000797428,kniha,nan,celé dílo,překlad,nan,"Žák, Jaroslav (jk01152975)","""Luokkataistelu"" Kouluihmisistä",nan,nan,Študáci a kantoři,fin,cze,nan,nan,Pori (Finsko): Satakunnan Kirjateollisuus Oy,nan,nan,164.0,1944.0,nan,Hilkka Hannula (trl) § Kaarina Alava (ill),nan,nan
411,412,003328400,kniha,nan,celé dílo,překlad,nan,"Rudolf, Stanislav (jk01103025)",Tyttö kuin punapipuri,nan,nan,Údolí krásných žab,fin,cze,nan,nan,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,Tam tam kirjat ; 70,nan,171.0,1977.0,951-30-3983-8,Kirsti Siraste (trl),nan,nan
412,413,000731243,kniha,nan,celé dílo,překlad,nan,"Pelc, Jan (jn99240000862)",Tarinoita aikuisille,nan,nan,...a povídky aneb sexuální mizérie a jiné story,fin,cze,nan,nan,Helsinki (Finsko): Kustannus Oy Taifuuni,nan,nan,176.0,1993.0,951-581-012-4,Eero Balk (trl),nan,nan
413,414,nan,část knihy,413.0,celé dílo,nan,nan,nan,Tytöilleni,nan,nan,Mým dívkám,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
414,415,nan,část knihy,413.0,celé dílo,nan,nan,nan,...ei ole helppoa kellään,nan,nan,...a nikdo to nemá lehké,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
415,416,nan,část knihy,413.0,celé dílo,nan,nan,nan,Mengele,nan,nan,Mengele,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
416,417,nan,část knihy,413.0,celé dílo,nan,nan,nan,Lyödäänkö vetoa?,nan,nan,Vsadíš se?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
417,418,nan,část knihy,413.0,celé dílo,nan,nan,nan,Hetki koiran ja suden välissä,nan,nan,V hodině mezi psem a vlkem,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
418,419,nan,část knihy,413.0,celé dílo,nan,nan,nan,"Tuntemattoman tavallisen tšekkikansan tytölle, usein raisulle, joka lähetti minulle kirjan",nan,nan,"Neznámé dívce z lidu obecného českého, namnoze nezbedné, co mi poslala knihu",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
419,420,nan,část knihy,413.0,celé dílo,nan,nan,nan,Salalokeroita ja neidonhaaveita,nan,nan,Tajné přihrádky a dívčí sny,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
420,421,nan,část knihy,413.0,celé dílo,nan,nan,nan,Emigranttitarina,nan,nan,Emigrantská,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
421,422,nan,část knihy,413.0,celé dílo,nan,nan,nan,Kolme kohtaamista,nan,nan,Tři setkání,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
422,423,nan,část knihy,413.0,celé dílo,nan,nan,nan,Herkkä tarina,nan,nan,Něžná,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
423,424,nan,část knihy,413.0,celé dílo,nan,nan,nan,"Omat lapsikullat, suloiset ja sametinpehmeät",nan,nan,"Děti moje zlaté, něžné a sametové",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
424,425,nan,část knihy,413.0,celé dílo,nan,nan,nan,Apokalypsi,nan,nan,Apokalypsa,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
425,426,006579962,kniha,nan,celé dílo,překlad,nan,"Dvořáček, Jaroslav (",Tshekkoslovakia tänään,nan,Toinen täydennetty painos,originál nenalezen,fin,cze,nan,nan,Praha (Československo): Orbis,nan,nan,49.0,1957.0,D 0563265,Lieko Zachovalová (trl),nan,nan
