,Číslo záznamu,Finské id,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu v latince,Údaje o odpovědnosti a další informace (z titulní strany),Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Další role,Volná poznámka,technická poznámka
23,24,000665594,kniha,,celé dílo ,překlad,,"Frýzek, Václav (mzk2014833537)",Jääkiekkoilu kuvina,,Zrcadlo hokeje,fin,cze,ger,Eishockey im Bild,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,139.0,1968.0,s.X.III.397,Matti Hossa (trl) § Matti Pirhonen (trl) § Pentti Pirhonen (trl) § Josef Jíra (ill) § Václav Frýzek (ill) § Libuše Frýzková (edt ilustrací) ,,
24,25,004002342,kniha,,celé dílo ,překlad,,"Kohout, Pavel (jk01061137)",Tšekkiläinen päiväkirja,,Z deníku kontrarevolucionáře,fin,cze,ger,Aus dem Tagebuch eines Konterrevolutionärs,Helsinki (Finsko): Yhteiskirjapaino,,,280.0,1969.0,s.J.II.3943,Keijo Kylävaara (trl) § Pravoslav Sovák (pht),,
25,26,004398019,kniha,,celé dílo ,překlad,,,Asiatietoja Tšekkoslovakiasta,,,fin,cze,,,Praha (Československo): Orbis,,,132.0,1961.0,D-05*01344,Lieko Zachovalová (trl) § Milan Hegar (ill),,není uveden původní autor
26,27,001508776,kniha,,celé dílo ,překlad,,"Augusta, Josef (jk01010421)",Muinaisajan eläimiä,,Hlubinami pravěku,fin,cze,ger,,Helsinki (Finsko) : Kustannusosakeyhtiö Tammi,,,49.0,1960.0,s.S.IV.42,Paavo Voipio (trl) § Zdeněk Burian (ill),,není uveden název německého překladu
27,28,000782293,kniha,,celé dílo ,překlad,,"Fučík, Julius (jk01032106)",Hirsipuun varjossa,,Reportáž psaná na oprátce,fin,cze,,,Helsinki (Finsko): Kirjapaino Tapo Oy,,,107.0,1948.0,s.J.II.2535,Matti Lehmonen (trl),,
28,29,000417592,kniha,,celé dílo ,překlad,,"Fuks, Ladislav (jk01032159)",Herra Theodor Mundstock,,Pan Theodor Mundstock,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Tammi,Keltainen kirjasto ; 101,,234.0,1970.0,,Kirsti Siraste (trl),,
29,30,000514354,kniha,,celé dílo ,překlad,,"Kohout, Pavel (jk01061137)",Valkoinen kirja,"asiassa Adam Juráček, liikuntakasvatuksen ja piirustuksen lehtori, K:n pedagoginen oppilas vastaan Sir Isaac Newton, fysiikan professori, Cambridgen ylioposto laatinut aikakirja-aineston perusteella ja tädentänyt kiintoisilla dokumenteilla PAVEL KOHOUT","Bílá kniha o kauze Adam Juráček
",fin,cze,ger,Weissbuch,Helsinki (Finsko) : Kirjayhtymä,,,218.0,1970.0,s.Hce.II.5235,Keijo Kylävaara (trl) ,,
30,31,003229505,kniha,,celé dílo ,překlad,,"Holan, Emil (jk01041649)",Sähkökipinä joka valloitti maailman,nuorisille kertonut Emil Holan,"Jiskra, která dobyla šveta",fin,cze,,,Porvoo (Finsko): Werner Söderström Osakeyhtiö,,,139.0,1944.0,s.P.II.1502,,,není uveden překladatel
31,32,003339546,kniha,,celé dílo ,překlad,,"Janeček, Ota (jk01050921)",Lasten paratiisi,,František Halas: Dětem,fin,cze,ger,Kinderparadies,(Finsko): Werner Söderström Osakeyhtiö,,,68.0,1968.0,s.H.III.1713,Aale Tyyni (trl) § Ota Janeček (ill),,
32,33,000664062,kniha,,celé dílo ,překlad,,"Bendová, Krista (xx0003631)","Perhonen, hassu varpunen","kuvittanut Mirko Hanák, suomeksi riimitellyt Eeva-Liisa Manner",Čačky hračky,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Otava,,,,1967.0,s.Hce.III.274,Eeva-Liisa Manner (trl) §  Mirko Hanák (ill),,nemá číslované strany
33,34,003280061,kniha,,celé dílo ,překlad,,"Čarek, Jan (jk01021064)",Iloinen riimikirja,"kuvittanut Adolf Zábranský, säkeet kirjoittanut Jan Čarek, suomeksi riimittänyt Eeva-Liisa Manner",,fin,cze,ger,Kinderfreuden,Helsinki (Finsko) : Kustannusosakeyhtiö Otava,,,,1963.0,s.Hce.III.113,Eeva-Liisa Manner (trl) § Jan Čarek § Adolf Zábranský (ill),,nemá číslované strany
34,35,003283214,kniha,,celé dílo ,překlad,,"Šťovíčková, Dana (jk01131512) § Šťovíčková, Milada (jk01131513)",Kiinalaissatuja,kiinalaisten lähteiden mukaan kertoneet Dana ja Milada Šťovíčková,Čínské lidové pohádky,fin,cze,ger,Chinesische Volksmärchen,Helsinki (Finsko) : Weilin+Göös,,,199.0,1971.0,s.Hce.III.666,Eila Kivikkaho (trl) § Aarno Peromies (trl) § Aleč Krejča (ill) § Eva Bednářová (ill),,
36,37,003321702,kniha,,celé dílo ,překlad,,"Procházka, Jan (jk01101145)",Tyttö ja hevonen,,Divoké prázdniny,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Tammi,Tam Tam kirjat ; 32,,130.0,1972.0,951-30-2269-2,Kirsti Siraste (trl),,
37,38,003093714,kniha,,celé dílo ,překlad,,"Otčenášek, Jan (jk01091352)","Romeo, Julia ja pimeys",Romaani,"Romeo, Julie a tma",fin,cze,eng,,Helsinki (Finsko) : Kustannusosakeyhtiö Otava,Delfiinikirjat,,160.0,1981.0,951-1-06133-X,Kyllikki Clément (trl),,není uveden název anglického překladu
38,39,003310787,kniha,,celé dílo ,překlad,,"Hofman, Ota (jk01041559)",Pako,,Útěk,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Tammi,Tam Tam kirjat ; 8,,95.0,1970.0,s.Hce.I.+1497,Kirsti Siraste (trl),,
39,40,003289992,kniha,,celé dílo ,překlad,,"Turek, Svatopluk (jk01121858)",Liukuhihna ei odota,,Botostroj,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Yhteistö,,,284.0,1956.0,s.Hce.II.2540,Annikki Maruna (trl),,
40,41,003289992,kniha,,celé dílo ,překlad,,"Pecka, Karel (jk01092241)",Pelon tiheikkö,,Horečka,fin,cze,ger,Dickicht der Angst,Jyväskylä (Finsko): K. J. Gummerus Osakeyhtiö,,,307.0,1971.0,s.Hce.II.5333,Markku Mannila (trl),,
41,42,011517160,kniha,,celé dílo ,překlad,,"Němcová, Božena (jk01083016)",Isoäiti,,Babička,fin,cze,,,Lahti (Finsko): Kustannus Oy Kirjamaailma,,,351.0,1966.0,s.Hce.II.4466,Anna-Liisa Laine (trl),,
42,43,003091957,kniha,,celé dílo ,překlad,,"Němcová, Božena (jk01083016)",Isoäiti,Kuvia maalaiselämästä,Babička,fin,cze,,,(Finsko): Kirjapiiri,,,332.0,1978.0,s.Hce.II.7493,Anna-Liisa Laine (trl),překlad byl zřejmě od toho staršího upraven,
43,44,002789122,kniha,,celé dílo ,překlad,,"Němcová, Božena (jk01083016)",Isoäiti,Kuvia maalaiselämästä,Babička,fin,cze,,,Porvoo (Finsko): Werner Söderström Osakeyhtiö,,,332.0,1979.0,951-0-08741-6,Anna-Liisa Laine (trl) § Mikko Kilpi (trl) § Marta Hellmuthóva (trl),"Překlad zřejmě stejný jako z předchozího roku, jen Mikko Kilpi přeložil básně a Marta Hellmuthóva opravila české názvy",
44,45,000518928,kniha,,celé dílo ,překlad,,"Kozák, Jan (jk01062556)",Taigan metsästäjät,,Lovcem v tajze,fin,cze,,,Helsinki (Finsko) : Kirjayhtymä,,,276.0,1979.0,951-26-1705-6,Kirsti Siraste (trl) § Leo Bessonoff (trl),,
45,46,003290896,kniha,,celé dílo ,překlad,,"Procházka, Jan (jk01101145)",Eläköön tasavalta,"(Minä, Julina ja suuren sodan loppu)",Ať žije republika (Já a Julina a konec velké války),fin,cze,,,Jyväskylä (Finsko): K. J. Gummerus Osakeyhtiö,,,243.0,1973.0,951-20-0261-2,Kirsti Siraste (trl),,
46,47,000203436,kniha,,celé dílo ,překlad,,"Rudolf, Stanislav (jk01103025)",Uhmamielinen syksy,,Nežne háckovany cas,fin,cze,,,Helsinki (Finsko): Suuri Nuorten Kirjakerho,,,176.0,1979.0,951-643-364-2,Kirsti Siraste (trl),,
47,48,000203432,kniha,,celé dílo ,překlad,,"Rudolf, Stanislav (jk01103025)",Tonnikala,,Metrácek aneb nemožně tlustá holka,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Tammi,Tam Tam kirjat ; 83,,164.0,1979.0,951-30-5000-9,Kirsti Siraste (trl),,
48,49,003328397,kniha,,celé dílo ,překlad,,"Rudolf, Stanislav (jk01103025)",Minustako urheilija?!,,Metrácek aneb nemožně tlustá holka,fin,cze,,,Helsinki (Finsko): Suuri Nuorten Kirjakerho,,,164.0,1980.0,951-643-373-1,Kirsti Siraste (trl),prakticky totožné s předchozím vydáním,
49,50,000820616,kniha,,celé dílo ,překlad,,"Faltus, Jiří (jk01030732)",Lehmä ja sen vstävät,,Kráva a její kamarádi,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Otava,,,,1972.0,s.Xe.I.2313,"Jukka H. Puntari (trl) § Lukeš, Rudolf (ill)",,nemá číslované strany
50,51,003323111,kniha,,celé dílo ,překlad,,"Černík, Michal (jk01021422)",Leijona ja sen ystävät,,Lev a jeho kamarádi,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Otava,,,,1972.0,s. Xe.I.2315,"Jukka H. Puntari § Lukeš, Rudolf (ill)",,nemá číslované strany
51,52,003323112,kniha,,celé dílo ,překlad,,"Faltus, Jiří (jk01030732)",Norsu ja sen ystävät,,Slon a jeho kamarádi,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Otava,,,,1972.0,s.Xe.I.2316,"Jukka H. Puntari (trl) § Lukeš, Rudolf (ill)",,nemá číslované strany
52,53,003323109,kniha,,celé dílo ,překlad,,"Černík, Michal (jk01021422)",Kilpikonna ja sen ystävät,,Želva a její kamarádi,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Otava,,,,1972.0,s.Xe.I.2314,"Jukka H. Puntari (trl) § Lukeš, Rudolf (ill)",,nemá číslované strany
53,54,003330595,kniha,,celé dílo ,překlad,,"Kubašta, Vojtěch (jk01070261)",Jaakko ja herneenvarsi,,Jakub a kouzelné fazole,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Tammi,,,,1979.0,951-30-4801-2,Saima-Liisa Laatunen (trl) § Vojtěch Kubašta (ill),,nemá číslované strany
54,55,000646537,kniha,,celé dílo ,překlad,,"Koch, Jaroslav (jk01061166)",Onnellinen lapsi,Vauvakäisen kotikasvatus,Výchova kojence v rodině,fin,cze,eng,Infant Rearing in the Family,Helsinki (Finsko): Uusi kirjakerho,,,295.0,1979.0,951-54-0178-X,Kati Appelqvist (trl) § František Sodoma (ill),,
55,56,001661320,kniha,,celé dílo ,překlad,,"Voříšková, Marie (jk01150732)",Mustalaissatuja,,Cikánské pohádky,fin,cze,ger,Singende Gegen - Zigeunermärchen,Helsinki (Finsko) : Weilin+Göös,,,198.0,1966.0,1-01-09-58,Eila Kivikkaho (trl) § Míla Doležalová (ill),,
56,57,003199274,kniha,,celé dílo ,překlad,,"Reis, Vladimír (jk01102238)",Satuja Etelämeren saarilta,,Povídky z Tichomoří,fin,cze,ger,Märchen aus der Südsee,Helsinki (Finsko) : Weilin+Göös,,,199.0,1980.0,951-35-2227-X,Liisa Ryömä (trl) § Karel Teissig (ill),,
57,58,003326622,kniha,,celé dílo ,překlad,,"Reis, Vladimír (jk01102238)",Kiehtova satumaalima,,Pohádky z obrázků,fin,cze,ger,,Östersundom/Itäsalmi (Finsko): Oy Kirjalito AB,,,206.0,1987.0,951-28-1682-2,Matti Hassinen (trl) § Laila Niukkanen (trl) § Aleš Krejča (ill),neuveden název německého překladu,
58,59,004673559,kniha,,celé dílo ,překlad,,"Hulpach, Vladimír (jn20001103804)",Intiaanisatuja,,Indiánské pohádky,fin,cze,,,Helsinki (Finsko) : Weilin+Göös,,,237.0,1979.0,S 2161/s.Hce.III.272,Marjatta Kurenniemi (trl) § Miloslav Troup (ill) § Oldřich Hlavsa (ill),,
59,60,003272169,kniha,,celé dílo ,překlad,,"Hanuš, Pavel (jk01033496)",Viemäriballadi,,Ballada z podzemí,fin,cze,,,,,,36.0,1984.0,s.(ö) Hce.208/1000055324,Kirsti Siraste (trl),scénář rozhlasové hry,
60,61,003270967,kniha,,celé dílo ,překlad,,"Daněk, Jiří (xx0203350)","Pysäytä, Herra, armossasi salama","Kuunnelma Prokop Divischistä, 1700-luvulla eläneestä ensimmäinen sääkoneen keksijästä",Zadrž blesk na cestě jeho...,fin,cze,,,,,,39.0,1988.0,s.(ö).Hce.Dan/100 002 5713,Kari Senius (trl),scénář rozhlasové hry,
61,62,000630950,kniha,,celé dílo ,překlad,,"Landovský, Pavel (jk01071483)",Mutka,Kuunnelma ,Objížďka,fin,cze,,,,,,57.0,1988.0,s.Hce.III.1442,Kirsti Siraste (trl),scénář rozhlasové hry,
62,63,007343840,kniha,,celé dílo ,překlad,,"Kubašta, Vojtěch (jk01070261)",Lumikki,,O Sněhurce,fin,cze,,,Helsinki (Finsko) : Kustannusosakeyhtiö Tammi,,,,1979.0,951-30-4803-9,Saima-Liisa Laatunen (trl),,nemá číslované strany
63,64,000639481,kniha,,celé dílo,překlad,,"Kubašta, Vojtěch (jk01070261)",Urhoollinen tinasotilas,,Statečný cínový vojáček,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,1979.0,951-30-4804-7,Saima-Liisa Laatunen (trl),,nemá číslované strany
64,65,005516150,kniha,,celé dílo,překlad,,"Kubašta, Vojtěch (jk01070261)",Saapasjalkakissa,,Kocour v botách,fin,cze,,,Helsinki (Finsko): Kustannusosakeyhtiö Tammi,,,,1979.0,951-30-4802-0,Saima-Liisa Laatunen (trl),,nemá číslované strany
65,66,003304347,kniha,,celé dílo,překlad,,"Čtvrtek, Václav (jk01021929)",Rosvo Rudolf,,Rumcajs,fin,cze,,,Helsinki (Finsko): Myrskylintu Oy,,,36.0,1980.0,951-839-006-1,Jana Kuronen (trl) § Tauno Yliruusi (trl) § Radek Pilař (ill),,
66,67,003304349,kniha,,celé dílo,překlad,,"Čtvrtek, Václav (jk01021929)",Rosvo Rudolf,,Rumcajs,fin,cze,,,Helsinki (Finsko): Myrskylintu Oy,,,67.0,1981.0,951-839-007-X,Jana Kuronen (trl) § Tauno Yliruusi (trl) § Radek Pilař (ill),,
67,68,003304350,kniha,,celé dílo,překlad,,"Čtvrtek, Václav (jk01021929)",Rosvo Rudolf,,Rumcajs,fin,cze,,,Helsinki (Finsko): Myrskylintu Oy,,,95.0,1982.0,951-839-008-8,Jana Kuronen (trl) § Tauno Yliruusi (trl) § Radek Pilař (ill),,
68,69,003330590,kniha,,celé dílo ,překlad,,,"Pitkäkoipi, Jumbo ja Haukansilmä",Tšekkiläinen  kansansatu,"Dlouhý, Široký a Bystrozraký",fin,cze,,,"Helsinki (Finsko): Mestarikustannus Oy, Kirjakerho Lasten Kirjapaketti",,,,1982.0,951-9189-42-6,Meri Starck (trl) § Petra Schweiss (ill),neuveden původní autor,nemá číslované strany
69,70,003303381,kniha,,celé dílo ,překlad,,"Čapek, Jindra (jn19981002508)",Lapsi on syntynyt...,Vanha joululegendan mukaan kertonut ja kuvittanut Jindra Čapek,Děťátko se narodilo...,fin,cze,ger,Ein Kind ist geboren...,Helsinki (Finsko): Lasten Keskus Oy,,,,1985.0,951-626-532-4,Johanna Luumi (trl),,nemá číslované strany
70,71,003312102,kniha,,celé dílo,překlad,,"Jágr, Miloslav (jk01050623)",Kahdeksas kääpiö,,Osmý trpaslík pana Háby,fin,cze,,,Vantaa ? (Finsko): Literos Oy ,,,,1986.0,951-99726-1-7,Aila Apell (trl),,
71,72,000454334,kniha,,souborné dílo,překlad,,"Nenadál, Jaroslav (jk01083165)",Ruusunpunainen kavaljeeri,ja muita novelleja,originál neexistuje,fin,cze,,,Helsinki (Finsko): Oy Orient express,,,199.0,1991.0,951-615-779-3,Eero Balk (trl),,
72,73,,část knihy,72,,překlad,,,Ruusunpunainen kavaljeeri,,Růžový kavalír,,,,,,,,,,,,,
73,74,,část knihy,72,celé dílo,překlad,,,"Kun tiedät, tätikulta, pannaan hautaan...",,"Až, vás, tetičko, budou dávat do hrobu...",,,,,,,,,,,,,
74,75,,část knihy,72,celé dílo,překlad,,,Välikohtaus huvilalla,,Křivoklátské intermezzo,,,,,,,,,,,,,
75,76,,část knihy,72,celé dílo,překlad,,,Lehti-ilmoitus,,Inzerát,,,,,,,,,,,,,
76,77,,část knihy,72,celé dílo,překlad,,,Hic sunt Leones (se pyörii sittenkin),,Hic sunt Leones (a přece se točí),,,,,,,,,,,,,
77,78,003095588,kniha,,celé dílo,překlad,,"Kohout, Pavel (jk01061137)",Kysytään Klaaralta,Jelena Mašinován käsikirjoitukseen pohjaava romaani ,Nápady svaté Kláry,fin,cze,,,Helsinki (Finsko): Kirjayhtymä,,,255.0,1982.0,951-26-2194-0,Kirsti Siraste (trl),,
78,79,000914358,kniha,,celé dílo,překlad,,"Neruda, Jan (jk01083209)",Prahalaistarinoita,,Povídky malostranské,fin,cze,,,Helsinki (Finsko): Taifuuni,,,360.0,2000.0,951-581-074-4,Eero Balk (trl),,Za podpory ministerstva kultury ČR
79,80,004694516,kniha,,celé dílo,překlad,,"Langer, Jiří (jk01071526)",Yhdeksän porttia,Hasidien salaisuudet,Devět bran,fin,cze,,,Helsinki (Finsko): Basam Books,,,301.0,2003.0,952-9842-82-1,Eero Balk (trl),,Za podpory ministerstva kultury ČR
80,81,003094212,kniha,,celé dílo,překlad,," Škvorecký, Josef (jk01130413)",Ihmismielten insinööri,"Lukemista vanhoista kunnon aihesta: elämästä, naisista, kohtalosta, unelmista, työväenluokasta, salaisista agenteista, rakkaudesta ja kuolemasta",Příběh inženýra lidských duší,fin,cze,eng,The Engineer of Human Souls,Helsinki (Finsko): Kustannutosakeyhtiö Otava,Otavan kirjasto ; 64,,671.0,1988.0,951-1-08620-0,Leevi Lehto (trl),,
81,82,000359508,kniha,,celé dílo,překlad,,"Viewegh, Michal (jn19990010021)",Kotiopettajan romaani,,Výchova dívek v Čechách,fin,cze,,,Helsinki (Finsko): Like,,,237.0,2004.0,952-471-263-6,Nina Saikkonen (trl) § Eeva-Liisa Manner (trl),,
82,83,000415088,kniha,,celé dílo,překlad,,"Berková, Alexandra (jk01011850)",Magoria,Tarina suuresta rakkaudesta,Magorie aneb příběh velké lásky,fin,cze,,,Helsinki (Finsko): Taifuuni,,,120.0,1994.0,951-581-021-3,"Eero Balk (trl, aft) ",,
83,84,000495331,kniha,,celé dílo,překlad,,"Berková, Alexandra (jk01011850)",Uskollisen reppanan kärsimykset,,Utrpení oddaného Všiváka,fin,cze,,,Helsinki (Finsko): Taifuuni,,,92.0,1997.0,951-581-050-7,Eero Balk (trl),,
84,85,000246997,kniha,,celé dílo,překlad,,"Weil, Jiří (jk01151482)",Tähti sydämellä,,Život s hvězdou,fin,cze,,,Helsinki (Finsko): Basam Books,,,236.0,2002.0,952-9842-52-X,Eero Balk (trl),,Za podpory ministerstva kultury ČR
85,86,003317824,kniha,,celé dílo,překlad,,"Lukešová, Milena (jk01072640)",Jussi ja kalat,,Jozifek a ryby,fin,cze,,,Vantaa ? (Finsko): Literos Oy,,,,1989.0,s.Xe.III.1941,Aila Apell (trl) § Jan Kudláček (illl),,nemá číslované strany
86,87,000908289,kniha,,celé dílo,překlad,,"Roller, Zdeněk (jn20001005498)",Kotieläimiä,,Domácí zvířátka,fin,cze,eng,Domestic Animals,Helsinki (Finsko): Kirjalito AB,,,46.0,1999.0,951-28-3264-X,Ismo Nuuja (trl) § Katri Nuuja (trl)§ Eduard Studnička (pht) § Pavla Jiráková (pht) § Jaromír Knotek (ill) § Libuše Knotková (ill),,
87,88,003241980,kniha,,celé dílo,překlad,,"Baránková, Vlasta (jn19981000214)",Siipiniekat,,Kouzelná cesta domů?,fin,cze,ger,,Helsinki (Finsko): Lasten Keskus Oy,,,,,951-626-870-6,Tuula Korolainen (trl) ,není uveden název německého překladu,nemá číslované strany
88,89,004007965,kniha,,celé dílo,překlad,,"Kulka, Tomáš (jn20010310175)",Taide ja kitsch,,Umení a kýč,fin,cze,,,Helsinki (Finsko): Taifuuni,,,119.0,1997.0,951-581-056-6,Eero Balk (trl),,
89,90,004762636,kniha,,celé dílo ,překlad,,"Kriseová, Eda (jk01063340)",Václav Havel - Kirjailija ja presidentti,,Václav Havel - Životopis,fin,cze,,,Helsinki (Finsko): Kirjayhtymä,,,393.0,1993.0,951-26-3664-6,"Eero Balk (trl, cwt)",,
90,91,000687584,kniha,,celé dílo,překlad,,"Havel, Václav (jk01040240)",Asioista kuultuna,,Dálkový výslech/Rozhovor s Karlem Hvížďalou,fin,cze,,,Helsinki (Finsko): Kirjayhtymä,,,202.0,1990.0,951-26-3484-4,"Kirsti Siraste (trl, cwt)","z rukopisu, zkráceno",
91,92,004774216,kniha,,celé dílo,překlad,,"Čihař, Jiří (jk01021822)",Jokamiehen kalakirja,Makean vedet kalat,Ryby sladkých vod,fin,cze,,,Helsinki (Finsko): Oy Kolibri,,,184.0,1993.0,951-576-148-4,Ismo Nuuja (trl) § Risto Palokangas (trl) § Lauri Koli (trl) § Erkki Lahti (trl) § Libuše Knotková (ill) § Jaromír Knotek (ill),,
92,93,000178287,kniha,,celé dílo,překlad,,"Ďuďa, Rudolf (jo2002104683)",Jalokivien maailma,Jalo- ja korukivet ja niiden ominaisuudet,Svět drahých kamenů,fin,cze,ger,Der Kosmos Edelsteinführer,Helsinki (Finsko): Werner Söderström Osakeyhtiö,,,191.0,1998.0,951-0-22706-4,Kalle Taipale (trl) § Luboš Reil,,
93,94,000908078,kniha,,celé dílo,překlad,,"Roller, Zdeněk (jn20001005498)",Metsien eläimiä,,Zvířátka v lese,fin,cze,eng,Animals in the Forest,Helsinki (Finsko): Kirjalito AB,,,46.0,1999.0,951-28-3265-8,Ismo Nuuja (trl) § Eduard Studnička (pht) § Jiří Motyčka (pht) § Jaromír Knotek (ill) § Přemysl Pavlík (pht),,
94,95,000270632,kniha,,celé dílo,originál neexistuje,,"Kolář, Jiří (jk01061244)",Jiří Kolář 1914-2002,,Jiří Kolář 1914-2002,fin,cze,,,Helsinki (Finsko): Amos Andersonin taidemuseon julkaisija,Amos Andersonin taidemuseon julkaisuja uusi sarja ; 46,,160.0,2003.0,952-9531-49-4,Kai Kartio § Meda Mládková § Petr Řehoř § Jiří Machalický § Juhani Pallasmaa (autoři textů) § Camilla Ahlström-Taavitsainen (trl) § Eero Balk (trl) § Bo Carpelan (trl) § Barbara Cederqvist (trl) § Adrian Dean (trl) § Silja Kudel (trl) § Susanne Lehtinen (trl) § Liisa Kasvio (edt) § Hannele Grönlund (ill) § Ondřej Polák (pht) § Matti Huuhka (pht),,dvojjazyčné vydání - ve finštině i švédštině
95,96,000937752,kniha,,celé dílo,překlad,,"Felix, Jiří (jk01030870)",Maailman eläimiä,,Atlas zvířat,fin ,cze,,,Helsinki (Finsko): Kirjalito AB,,,144.0,2002.0,951-28-3598-3,Ismo Nuuja (trl) § Libuše Knotková (ill) § Jaromír Knotek (ill),,
96,97,004795698,kniha,,celé dílo,překlad,,"Lusting, Arnošt (jk01072683)",Rukous Katarzyna Horowitzille,,Modlitba pro Kateřinu Horovitzovou,fin,cze,,,Helsinki (Finsko): Like,,,174.0,2006.0,952-471-774-3,"Nina Saikkonen (trl, aft)",,
